Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2010","2010","kcal/cap/d","3729","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2011","2011","kcal/cap/d","3727","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2012","2012","kcal/cap/d","3765","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2013","2013","kcal/cap/d","3754","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2014","2014","kcal/cap/d","3742","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2015","2015","kcal/cap/d","3754","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2016","2016","kcal/cap/d","3777","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2017","2017","kcal/cap/d","3791","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2018","2018","kcal/cap/d","3824","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2019","2019","kcal/cap/d","3876","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2020","2020","kcal/cap/d","3892","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3911","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2901","Grand Total","2010","2010","million Kcal","423573978.3","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2901","Grand Total","2011","2011","million Kcal","426977629.37","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2901","Grand Total","2012","2012","million Kcal","435098541.19","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2901","Grand Total","2013","2013","million Kcal","437606433.31","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2901","Grand Total","2014","2014","million Kcal","439786019.03","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2901","Grand Total","2015","2015","million Kcal","444807812.06","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2901","Grand Total","2016","2016","million Kcal","451079364.13","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2901","Grand Total","2017","2017","million Kcal","456319467.63","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2901","Grand Total","2018","2018","million Kcal","463536540.42","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2901","Grand Total","2019","2019","million Kcal","473016332.18","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2901","Grand Total","2020","2020","million Kcal","477178362.82","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2901","Grand Total","2021","2021","million Kcal","481042763.1","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2010","2010","g/cap/d","119.02","E","Estimated value"
