"","YearStart","LocationAbbr","LocationDesc","Topic","Question","DataValueType","DataValue","StratificationCategory1","Stratification1"
"1",2018,"SC","South Carolina","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2657,"Gender","Male"
"2",2018,"VT","Vermont","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",329,"Gender","Female"
"3",2014,"WI","Wisconsin","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2645,"Gender","Male"
"4",2011,"AL","Alabama","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number",35,"Gender","Female"
"5",2012,"AL","Alabama","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number",86,"Overall","Overall"
"6",2013,"AL","Alabama","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number",36,"Gender","Male"
"7",2016,"AL","Alabama","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number",58,"Gender","Male"
"8",2017,"AL","Alabama","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number",51,"Gender","Male"
"9",2017,"AZ","Arizona","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number",118,"Overall","Overall"
"10",2017,"IA","Iowa","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number",55,"Overall","Overall"
"11",2012,"IL","Illinois","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number",81,"Gender","Male"
"12",2015,"IL","Illinois","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number",74,"Gender","Male"
"13",2010,"IN","Indiana","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number",25,"Gender","Male"
"14",2020,"LA","Louisiana","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number",55,"Gender","Male"
"15",2013,"MD","Maryland","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number",33,"Gender","Male"
"16",2014,"MD","Maryland","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number",41,"Gender","Male"
"17",2011,"MI","Michigan","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number",99,"Overall","Overall"
"18",2017,"UT","Utah","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number",31,"Overall","Overall"
"19",2017,"FL","Florida","Diabetes","Amputation of a lower extremity attributable to diabetes","Number",2317,"Race/Ethnicity","Black, non-Hispanic"
"20",2017,"LA","Louisiana","Diabetes","Amputation of a lower extremity attributable to diabetes","Number",NA,"Gender","Male"
"21",2014,"MN","Minnesota","Diabetes","Amputation of a lower extremity attributable to diabetes","Number",903,"Gender","Male"
"22",2010,"NE","Nebraska","Diabetes","Amputation of a lower extremity attributable to diabetes","Number",394,"Overall","Overall"
"23",2014,"NE","Nebraska","Diabetes","Amputation of a lower extremity attributable to diabetes","Number",314,"Gender","Male"
"24",2018,"NV","Nevada","Diabetes","Amputation of a lower extremity attributable to diabetes","Number",1081,"Overall","Overall"
