"YearStart","LocationAbbr","LocationDesc","Topic","Question","DataValueType","DataValue","StratificationCategory1","Stratification1"
2018,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number","66866","Gender","Male"
2019,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","52.8","Race/Ethnicity","Asian or Pacific Islander"
2017,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","28.6","Race/Ethnicity","Hispanic"
2018,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","115.2","Race/Ethnicity","Black, non-Hispanic"
2020,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","532","Race/Ethnicity","Hispanic"
2017,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","90.3","Gender","Male"
2014,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","231","Race/Ethnicity","Black, non-Hispanic"
2016,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","71.6","Race/Ethnicity","Black, non-Hispanic"
2016,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","69.9","Overall","Overall"
2014,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","102","Race/Ethnicity","American Indian or Alaska Native"
2019,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","71.0","Overall","Overall"
2015,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","88.3","Gender","Male"
2019,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","319","Race/Ethnicity","Hispanic"
2014,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","4702","Race/Ethnicity","White, non-Hispanic"
2017,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","106.1","Race/Ethnicity","American Indian or Alaska Native"
2018,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","2552","Gender","Female"
2015,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","70.8","Gender","Female"
2020,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","98.7","Race/Ethnicity","Black, non-Hispanic"
2016,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","103.7","Race/Ethnicity","American Indian or Alaska Native"
2020,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","87.0","Gender","Female"
2015,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","5702","Overall","Overall"
2018,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","269","Race/Ethnicity","Hispanic"
2015,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","61.3","Race/Ethnicity","Asian or Pacific Islander"
2017,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","51.9","Race/Ethnicity","Asian or Pacific Islander"
2019,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","124.4","Race/Ethnicity","American Indian or Alaska Native"
2019,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","438","Race/Ethnicity","Asian or Pacific Islander"
2020,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","157","Race/Ethnicity","American Indian or Alaska Native"
2017,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","5021","Race/Ethnicity","White, non-Hispanic"
2017,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","58.3","Gender","Female"
2018,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","69.4","Overall","Overall"
2020,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","80.0","Race/Ethnicity","Asian or Pacific Islander"
2019,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","32.2","Race/Ethnicity","Hispanic"
2017,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","82.0","Overall","Overall"
